session_date,session_source,session_medium,campaign_name,landing_page,country,device_category,operating_system,browser,sessions,new_users,bounce_rate,avg_session_duration_sec,page_views,conversions,total_revenue,extraction_date,data_source
20240703,bing,(none),black_friday,/products/btc-indicator,United States,tablet,Windows,Firefox,102,64,0.3501,312.99,283,7,744.37,2026-07-04T05:01:00.675026,google_analytics_4
20240703,google,referral,retargeting_q4,/pages/about,Canada,tablet,Android,Safari,96,46,0.7716,188.74,325,5,951.06,2026-07-04T05:01:00.675026,google_analytics_4
20240703,google,(none),brand_awareness,/products/gunbot-config,United Kingdom,tablet,Android,Safari,97,54,0.5091,78.1,297,7,1011.61,2026-07-04T05:01:00.675026,google_analytics_4
20240703,direct,organic,(not set),/pages/about,Mexico,tablet,Linux,Safari,44,24,0.7258,153.03,171,1,76.26,2026-07-04T05:01:00.675026,google_analytics_4
20240703,(direct),social,retargeting_q4,/,United States,desktop,iOS,Edge,119,38,0.4746,98.49,167,8,1229.23,2026-07-04T05:01:00.675026,google_analytics_4
20240704,google,email,black_friday,/,Germany,tablet,iOS,Safari,10,6,0.4864,408.42,25,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240704,facebook,organic,brand_awareness,/products/btc-indicator,Mexico,mobile,Linux,Safari,26,11,0.3595,202.01,68,2,414.95,2026-07-04T05:01:00.675026,google_analytics_4
20240704,google,cpc,black_friday,/products/btc-indicator,Germany,mobile,macOS,Edge,6,2,0.5988,306.88,11,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240704,email,social,(not set),/pages/about,Brazil,desktop,iOS,Edge,16,11,0.4486,138.49,23,1,119.49,2026-07-04T05:01:00.675026,google_analytics_4
20240704,bing,(none),retargeting_q4,/,Germany,tablet,Linux,Safari,25,10,0.3442,193.81,95,1,228.68,2026-07-04T05:01:00.675026,google_analytics_4
20240704,google,email,black_friday,/,United Kingdom,tablet,Android,Chrome,32,15,0.7279,246.03,115,1,213.79,2026-07-04T05:01:00.675026,google_analytics_4
20240705,direct,social,summer_promo,/pages/about,Canada,desktop,Linux,Safari,14,5,0.6081,221.93,30,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240705,direct,email,black_friday,/collections/all,Spain,mobile,macOS,Chrome,74,53,0.4485,65.65,237,1,192.84,2026-07-04T05:01:00.675026,google_analytics_4
20240705,(direct),social,black_friday,/products/btc-indicator,Germany,mobile,Linux,Chrome,74,46,0.798,94.56,200,4,275.04,2026-07-04T05:01:00.675026,google_analytics_4
20240705,instagram,organic,black_friday,/products/btc-indicator,United Kingdom,tablet,Android,Edge,35,25,0.7386,234.96,137,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240705,email,(none),retargeting_q4,/products/btc-indicator,United States,mobile,Windows,Firefox,20,12,0.3973,205.8,29,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240705,google,social,retargeting_q4,/pages/about,Canada,mobile,Windows,Edge,66,28,0.5219,351.94,86,3,885.63,2026-07-04T05:01:00.675026,google_analytics_4
20240706,google,organic,black_friday,/products/gunbot-config,United Kingdom,tablet,Windows,Edge,49,26,0.7695,106.68,170,2,483.16,2026-07-04T05:01:00.675026,google_analytics_4
20240706,direct,email,brand_awareness,/pages/about,Spain,mobile,macOS,Edge,26,18,0.7764,205.4,78,1,154.8,2026-07-04T05:01:00.675026,google_analytics_4
20240706,direct,organic,(not set),/pages/about,Germany,tablet,Linux,Edge,79,43,0.6263,316.35,306,2,555.53,2026-07-04T05:01:00.675026,google_analytics_4
20240706,facebook,(none),summer_promo,/products/gunbot-config,Brazil,desktop,Android,Safari,31,14,0.4359,251.95,44,1,261.15,2026-07-04T05:01:00.675026,google_analytics_4
20240706,email,social,(not set),/pages/about,United Kingdom,mobile,Android,Safari,36,21,0.7627,411.23,143,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240706,instagram,referral,(not set),/pages/about,Canada,tablet,iOS,Edge,36,21,0.4523,375.32,124,2,278.33,2026-07-04T05:01:00.675026,google_analytics_4
20240707,google,social,brand_awareness,/products/btc-indicator,United Kingdom,mobile,Android,Chrome,74,33,0.4849,65.6,268,3,177.4,2026-07-04T05:01:00.675026,google_analytics_4
20240707,(direct),social,brand_awareness,/collections/all,Germany,tablet,Windows,Chrome,90,58,0.3666,142.45,291,6,1181.15,2026-07-04T05:01:00.675026,google_analytics_4
20240707,instagram,referral,brand_awareness,/pages/about,United Kingdom,mobile,macOS,Chrome,28,8,0.6226,333.28,104,1,238.67,2026-07-04T05:01:00.675026,google_analytics_4
20240707,instagram,cpc,(not set),/products/gunbot-config,Canada,mobile,Windows,Edge,96,42,0.4751,330.61,382,6,981.86,2026-07-04T05:01:00.675026,google_analytics_4
20240707,instagram,referral,retargeting_q4,/products/gunbot-config,United Kingdom,tablet,iOS,Edge,107,58,0.4244,105.68,410,6,1018.7,2026-07-04T05:01:00.675026,google_analytics_4
20240707,instagram,(none),black_friday,/products/gunbot-config,Spain,desktop,Linux,Safari,47,25,0.6126,340.57,130,3,268.06,2026-07-04T05:01:00.675026,google_analytics_4
20240708,direct,email,summer_promo,/pages/about,Germany,mobile,Android,Firefox,7,4,0.3886,189.48,7,1,205.47,2026-07-04T05:01:00.675026,google_analytics_4
20240708,email,(none),black_friday,/products/btc-indicator,Brazil,mobile,Android,Safari,51,34,0.7753,310.84,108,2,277.2,2026-07-04T05:01:00.675026,google_analytics_4
20240708,(direct),email,retargeting_q4,/products/btc-indicator,Spain,desktop,Linux,Safari,61,42,0.3672,206.77,63,1,43.89,2026-07-04T05:01:00.675026,google_analytics_4
20240708,instagram,referral,retargeting_q4,/collections/all,Canada,mobile,Android,Safari,52,28,0.5266,260.37,182,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240709,direct,referral,black_friday,/products/gunbot-config,Mexico,tablet,iOS,Firefox,21,13,0.3282,54.65,63,1,33.18,2026-07-04T05:01:00.675026,google_analytics_4
20240709,direct,(none),brand_awareness,/collections/all,Mexico,desktop,macOS,Firefox,22,13,0.3307,290.2,59,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240709,google,organic,brand_awareness,/pages/about,Mexico,tablet,macOS,Safari,130,46,0.7883,306.55,218,2,119.94,2026-07-04T05:01:00.675026,google_analytics_4
20240709,(direct),cpc,summer_promo,/,United Kingdom,tablet,Windows,Chrome,121,82,0.8229,311.17,400,5,1106.03,2026-07-04T05:01:00.675026,google_analytics_4
20240709,facebook,organic,brand_awareness,/products/btc-indicator,Spain,desktop,macOS,Firefox,90,54,0.6085,45.14,186,4,189.56,2026-07-04T05:01:00.675026,google_analytics_4
20240709,google,referral,black_friday,/products/btc-indicator,Spain,desktop,Windows,Edge,95,70,0.4623,389.98,380,3,557.91,2026-07-04T05:01:00.675026,google_analytics_4
20240710,(direct),referral,summer_promo,/products/btc-indicator,Brazil,mobile,iOS,Firefox,85,25,0.7235,338.52,301,2,66.54,2026-07-04T05:01:00.675026,google_analytics_4
20240710,facebook,(none),summer_promo,/,Spain,mobile,Linux,Chrome,64,28,0.3011,184.48,76,1,160.77,2026-07-04T05:01:00.675026,google_analytics_4
20240710,direct,referral,(not set),/collections/all,Canada,mobile,iOS,Firefox,74,23,0.8212,318.51,113,5,657.4,2026-07-04T05:01:00.675026,google_analytics_4
20240710,bing,organic,(not set),/collections/all,Spain,desktop,iOS,Edge,8,5,0.4389,404.69,16,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240711,instagram,referral,(not set),/products/gunbot-config,United States,desktop,Linux,Safari,66,20,0.5657,132.58,187,1,180.25,2026-07-04T05:01:00.675026,google_analytics_4
20240711,instagram,social,summer_promo,/collections/all,Germany,desktop,Windows,Safari,46,22,0.7535,69.35,168,1,240.47,2026-07-04T05:01:00.675026,google_analytics_4
20240711,instagram,social,summer_promo,/,Spain,mobile,Linux,Safari,13,5,0.6528,70.93,46,1,72.69,2026-07-04T05:01:00.675026,google_analytics_4
20240712,direct,organic,retargeting_q4,/collections/all,Spain,mobile,Linux,Firefox,64,38,0.709,366.5,106,2,145.68,2026-07-04T05:01:00.675026,google_analytics_4
20240712,instagram,(none),summer_promo,/products/btc-indicator,Mexico,tablet,Linux,Chrome,84,62,0.6277,132.87,208,6,1185.7,2026-07-04T05:01:00.675026,google_analytics_4
20240712,google,social,(not set),/pages/about,Brazil,mobile,Android,Edge,116,73,0.6605,192.26,311,6,1374.56,2026-07-04T05:01:00.675026,google_analytics_4
