trend_id,keyword_tracked,search_date,search_interest_score,geo_region,top_related_query_1,top_related_query_2,top_related_query_3,rising_query_1,rising_query_2,weekly_momentum_pct,monthly_momentum_pct
gtr_crypto_bitcoin_20260105,bitcoin,2026-01-05,64,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,0.06,-2.9
gtr_crypto_bitcoin_20260112,bitcoin,2026-01-12,64,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,1.48,3.72
gtr_crypto_bitcoin_20260119,bitcoin,2026-01-19,72,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,0.77,11.78
gtr_crypto_bitcoin_20260126,bitcoin,2026-01-26,62,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,-1.42,-2.35
gtr_crypto_bitcoin_20260202,bitcoin,2026-02-02,72,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,5.69,-1.5
gtr_crypto_bitcoin_20260209,bitcoin,2026-02-09,58,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,1.24,7.1
gtr_crypto_bitcoin_20260216,bitcoin,2026-02-16,58,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,2.92,2.23
gtr_crypto_bitcoin_20260223,bitcoin,2026-02-23,61,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,0.52,-3.76
gtr_crypto_bitcoin_20260302,bitcoin,2026-03-02,64,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,-3.49,-7.78
gtr_crypto_bitcoin_20260309,bitcoin,2026-03-09,67,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,3.24,2.27
gtr_crypto_bitcoin_20260316,bitcoin,2026-03-16,67,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,0.53,-2.92
gtr_crypto_bitcoin_20260323,bitcoin,2026-03-23,70,Global,best bitcoin,how to use bitcoin,free bitcoin,bitcoin tutorial 2026,bitcoin online,-0.35,10.65
