trend_id,keyword_tracked,search_date,search_interest_score,geo_region,top_related_query_1,top_related_query_2,top_related_query_3,rising_query_1,rising_query_2,weekly_momentum_pct,monthly_momentum_pct
gtr_ai_prompt_prompt_engineering_20260105,prompt engineering,2026-01-05,40,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,3.49,10.33
gtr_ai_prompt_prompt_engineering_20260112,prompt engineering,2026-01-12,45,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,4.59,-1.18
gtr_ai_prompt_prompt_engineering_20260119,prompt engineering,2026-01-19,48,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.67,13.05
gtr_ai_prompt_prompt_engineering_20260126,prompt engineering,2026-01-26,43,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,1.89,-7.77
gtr_ai_prompt_prompt_engineering_20260202,prompt engineering,2026-02-02,40,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-0.97,10.34
gtr_ai_prompt_prompt_engineering_20260209,prompt engineering,2026-02-09,49,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-0.08,1.35
gtr_ai_prompt_prompt_engineering_20260216,prompt engineering,2026-02-16,44,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,0.12,-8.53
gtr_ai_prompt_prompt_engineering_20260223,prompt engineering,2026-02-23,44,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.89,11.98
gtr_ai_prompt_prompt_engineering_20260302,prompt engineering,2026-03-02,40,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.58,12.43
gtr_ai_prompt_prompt_engineering_20260309,prompt engineering,2026-03-09,38,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-2.74,4.03
gtr_ai_prompt_prompt_engineering_20260316,prompt engineering,2026-03-16,38,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.96,0.21
gtr_ai_prompt_prompt_engineering_20260323,prompt engineering,2026-03-23,54,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.23,3.91
gtr_ai_prompt_prompt_engineering_20260330,prompt engineering,2026-03-30,53,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.37,5.51
gtr_ai_prompt_prompt_engineering_20260406,prompt engineering,2026-04-06,41,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,4.62,-3.4
gtr_ai_prompt_prompt_engineering_20260413,prompt engineering,2026-04-13,45,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-1.76,-3.76
gtr_ai_prompt_prompt_engineering_20260420,prompt engineering,2026-04-20,42,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.65,13.02
gtr_ai_prompt_prompt_engineering_20260427,prompt engineering,2026-04-27,45,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,0.13,0.71
gtr_ai_prompt_prompt_engineering_20260504,prompt engineering,2026-05-04,51,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-1.12,11.95
gtr_ai_prompt_prompt_engineering_20260511,prompt engineering,2026-05-11,48,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,5.5,6.18
gtr_ai_prompt_prompt_engineering_20260518,prompt engineering,2026-05-18,39,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,3.99,13.39
gtr_ai_prompt_prompt_engineering_20260525,prompt engineering,2026-05-25,47,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-2.63,3.63
gtr_ai_prompt_prompt_engineering_20260601,prompt engineering,2026-06-01,55,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-1.16,-1.93
gtr_ai_prompt_prompt_engineering_20260608,prompt engineering,2026-06-08,55,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,-3.67,-7.04
gtr_ai_prompt_prompt_engineering_20260615,prompt engineering,2026-06-15,47,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,4.72,0.06
gtr_ai_prompt_prompt_engineering_20260622,prompt engineering,2026-06-22,42,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,2.41,-1.1
gtr_ai_prompt_prompt_engineering_20260629,prompt engineering,2026-06-29,44,Global,best prompt engineering,how to use prompt engineering,free prompt engineering,prompt engineering tutorial 2026,prompt engineering online,2.79,-7.79
