trend_id,keyword_tracked,search_date,search_interest_score,geo_region,top_related_query_1,top_related_query_2,top_related_query_3,rising_query_1,rising_query_2,weekly_momentum_pct,monthly_momentum_pct
gtr_ecommerce_shopify_20260105,shopify,2026-01-05,53,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,3.57,5.55
gtr_ecommerce_shopify_20260112,shopify,2026-01-12,46,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,4.01,13.89
gtr_ecommerce_shopify_20260119,shopify,2026-01-19,45,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,1.69,1.95
gtr_ecommerce_shopify_20260126,shopify,2026-01-26,48,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,5.46,6.88
gtr_ecommerce_shopify_20260202,shopify,2026-02-02,45,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,5.09,9.71
gtr_ecommerce_shopify_20260209,shopify,2026-02-09,44,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,-1.08,0.14
gtr_ecommerce_shopify_20260216,shopify,2026-02-16,58,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,-1.61,5.66
gtr_ecommerce_shopify_20260223,shopify,2026-02-23,50,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,5.78,3.31
gtr_ecommerce_shopify_20260302,shopify,2026-03-02,57,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,2.34,-1.29
gtr_ecommerce_shopify_20260309,shopify,2026-03-09,58,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,-0.84,-3.76
gtr_ecommerce_shopify_20260316,shopify,2026-03-16,42,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,0.26,10.61
gtr_ecommerce_shopify_20260323,shopify,2026-03-23,43,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,1.81,4.5
gtr_ecommerce_shopify_20260330,shopify,2026-03-30,54,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,5.07,-7.9
gtr_ecommerce_shopify_20260406,shopify,2026-04-06,52,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,1.6,10.09
gtr_ecommerce_shopify_20260413,shopify,2026-04-13,52,Global,best shopify,how to use shopify,free shopify,shopify tutorial 2026,shopify online,4.35,-3.97
