trend_id,keyword_tracked,search_date,search_interest_score,geo_region,top_related_query_1,top_related_query_2,top_related_query_3,rising_query_1,rising_query_2,weekly_momentum_pct,monthly_momentum_pct
gtr_local_event_wedding_venue_20260105,wedding venue,2026-01-05,44,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.11,1.71
gtr_local_event_wedding_venue_20260112,wedding venue,2026-01-12,39,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,0.75,-6.76
gtr_local_event_wedding_venue_20260119,wedding venue,2026-01-19,49,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.09,-5.21
gtr_local_event_wedding_venue_20260126,wedding venue,2026-01-26,38,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-0.23,12.9
gtr_local_event_wedding_venue_20260202,wedding venue,2026-02-02,45,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-2.14,5.65
gtr_local_event_wedding_venue_20260209,wedding venue,2026-02-09,53,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-1.42,3.54
gtr_local_event_wedding_venue_20260216,wedding venue,2026-02-16,48,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.81,-9.32
gtr_local_event_wedding_venue_20260223,wedding venue,2026-02-23,54,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,0.06,10.75
gtr_local_event_wedding_venue_20260302,wedding venue,2026-03-02,38,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,2.01,-5.95
gtr_local_event_wedding_venue_20260309,wedding venue,2026-03-09,39,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-1.88,-7.42
gtr_local_event_wedding_venue_20260316,wedding venue,2026-03-16,53,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-0.34,13.22
gtr_local_event_wedding_venue_20260323,wedding venue,2026-03-23,43,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.62,1.0
gtr_local_event_wedding_venue_20260330,wedding venue,2026-03-30,45,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,5.94,12.27
gtr_local_event_wedding_venue_20260406,wedding venue,2026-04-06,55,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,2.52,13.16
gtr_local_event_wedding_venue_20260413,wedding venue,2026-04-13,41,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,5.37,13.09
gtr_local_event_wedding_venue_20260420,wedding venue,2026-04-20,53,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,1.85,14.05
gtr_local_event_wedding_venue_20260427,wedding venue,2026-04-27,54,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,2.78,9.96
gtr_local_event_wedding_venue_20260504,wedding venue,2026-05-04,48,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,3.26,11.95
gtr_local_event_wedding_venue_20260511,wedding venue,2026-05-11,42,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-0.33,-9.03
gtr_local_event_wedding_venue_20260518,wedding venue,2026-05-18,49,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.16,8.94
gtr_local_event_wedding_venue_20260525,wedding venue,2026-05-25,49,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,0.22,6.39
gtr_local_event_wedding_venue_20260601,wedding venue,2026-06-01,44,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,1.2,-7.13
gtr_local_event_wedding_venue_20260608,wedding venue,2026-06-08,54,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,5.8,-4.05
gtr_local_event_wedding_venue_20260615,wedding venue,2026-06-15,54,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,0.11,10.33
gtr_local_event_wedding_venue_20260622,wedding venue,2026-06-22,54,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,4.07,4.37
gtr_local_event_wedding_venue_20260629,wedding venue,2026-06-29,53,MX-CHIH,best wedding venue,how to use wedding venue,free wedding venue,wedding venue tutorial 2026,wedding venue online,-3.08,8.61
gtr_local_event_party_halls_20260105,party halls,2026-01-05,63,MX-CHIH,best party halls,how to use party halls,free party halls,party halls tutorial 2026,party halls online,-2.23,5.68
gtr_local_event_party_halls_20260112,party halls,2026-01-12,58,MX-CHIH,best party halls,how to use party halls,free party halls,party halls tutorial 2026,party halls online,3.94,4.18
gtr_local_event_party_halls_20260119,party halls,2026-01-19,58,MX-CHIH,best party halls,how to use party halls,free party halls,party halls tutorial 2026,party halls online,-2.76,11.89
gtr_local_event_party_halls_20260126,party halls,2026-01-26,54,MX-CHIH,best party halls,how to use party halls,free party halls,party halls tutorial 2026,party halls online,-1.91,-7.65
