trend_id,keyword_tracked,search_date,search_interest_score,geo_region,platform_source,top_related_query_1,top_related_query_2,top_related_query_3,rising_query_1,rising_query_2,weekly_momentum_pct,monthly_momentum_pct,seasonality_index,competition_level,estimated_cpc_low,estimated_cpc_high,organic_difficulty,search_volume_tier,profitable_niche_flag
trd_prompt_generation_20251105,prompt generation,2025-11-05T00:00:00,6,Global,web,prompt generation guide,learn prompt generation,prompt generation cheat sheet,best prompt generation tools,prompt generation careers,0.0,0.0,97.5,Medium,1.48,3.11,71,Low,False
trd_agentic_AI_20251105,agentic AI,2025-11-05T00:00:00,48,Global,web,agentic AI guide,learn agentic AI,agentic AI cheat sheet,best agentic AI tools,agentic AI careers,0.0,0.0,97.5,Medium,1.36,2.86,75,Medium,False
trd_prompt_engineering_20251105,prompt engineering,2025-11-05T00:00:00,19,Global,web,prompt engineering guide,learn prompt engineering,prompt engineering cheat sheet,best prompt engineering tools,prompt engineering careers,0.0,0.0,97.5,Medium,3.16,6.64,78,Low,False
trd_prompt_generation_20251106,prompt generation,2025-11-06T00:00:00,7,Global,web,prompt generation guide,learn prompt generation,prompt generation cheat sheet,best prompt generation tools,prompt generation careers,16.67,0.0,97.5,Medium,2.18,4.58,71,Low,False
trd_agentic_AI_20251106,agentic AI,2025-11-06T00:00:00,50,Global,web,agentic AI guide,learn agentic AI,agentic AI cheat sheet,best agentic AI tools,agentic AI careers,4.17,0.0,97.5,Medium,1.23,2.58,81,Medium,False
trd_prompt_engineering_20251106,prompt engineering,2025-11-06T00:00:00,19,Global,web,prompt engineering guide,learn prompt engineering,prompt engineering cheat sheet,best prompt engineering tools,prompt engineering careers,0.0,0.0,97.5,Medium,3.22,6.76,66,Low,False
trd_prompt_generation_20251107,prompt generation,2025-11-07T00:00:00,7,Global,web,prompt generation guide,learn prompt generation,prompt generation cheat sheet,best prompt generation tools,prompt generation careers,0.0,0.0,97.5,Medium,3.12,6.55,84,Low,False
trd_agentic_AI_20251107,agentic AI,2025-11-07T00:00:00,48,Global,web,agentic AI guide,learn agentic AI,agentic AI cheat sheet,best agentic AI tools,agentic AI careers,-4.0,0.0,97.5,Medium,2.66,5.59,52,Medium,False
trd_prompt_engineering_20251107,prompt engineering,2025-11-07T00:00:00,21,Global,web,prompt engineering guide,learn prompt engineering,prompt engineering cheat sheet,best prompt engineering tools,prompt engineering careers,10.53,0.0,97.5,Medium,1.49,3.13,82,Low,False
trd_prompt_generation_20251108,prompt generation,2025-11-08T00:00:00,7,Global,web,prompt generation guide,learn prompt generation,prompt generation cheat sheet,best prompt generation tools,prompt generation careers,0.0,0.0,97.5,Medium,2.98,6.26,62,Low,False
trd_agentic_AI_20251108,agentic AI,2025-11-08T00:00:00,34,Global,web,agentic AI guide,learn agentic AI,agentic AI cheat sheet,best agentic AI tools,agentic AI careers,-29.17,0.0,97.5,Medium,2.9,6.09,52,Low,False
