event_id,started_at,ended_at,scheduled_to_end,budget,currency,event_type,source,channel,utm_source,utm_medium,utm_campaign,paid_budget_percent_used,impressions,clicks,click_through_rate,spend,conversions_attributed,attributed_revenue,roas,extraction_date
mkt_000001,2024-07-03T00:00:00Z,2024-07-16T00:00:00Z,2024-07-18T00:00:00Z,229.87,EUR,retargeting,instagram,referral,instagram,email,brand_awareness,89.5,13704,507,3.6996,205.74,6,989.85,4.8112,2026-07-04T05:01:03.099173
mkt_000002,2024-07-03T00:00:00Z,2024-07-07T00:00:00Z,2024-07-13T00:00:00Z,464.14,EUR,influencer,instagram,referral,instagram,display,black_friday,53.1,3717,443,11.9182,246.46,10,1876.08,7.6121,2026-07-04T05:01:03.099173
mkt_000003,2024-07-03T00:00:00Z,2024-07-15T00:00:00Z,2024-07-30T00:00:00Z,23.01,USD,influencer,bing,direct,bing,social,abandoned_cart_recovery,63.8,10649,581,5.4559,14.68,22,1102.37,75.0933,2026-07-04T05:01:03.099173
mkt_000004,2024-07-03T00:00:00Z,2024-07-06T00:00:00Z,2024-07-26T00:00:00Z,212.78,MXN,ad,mailchimp,display,mailchimp,organic,q4_retarget,87.36,2579,301,11.6712,185.88,8,2372.16,12.7618,2026-07-04T05:01:03.099173
mkt_000005,2024-07-04T00:00:00Z,2024-07-18T00:00:00Z,2024-07-31T00:00:00Z,147.64,USD,organic,tiktok,email,tiktok,display,black_friday,83.02,3888,316,8.1276,122.57,12,1868.21,15.242,2026-07-04T05:01:03.099173
mkt_000006,2024-07-05T00:00:00Z,2024-07-10T00:00:00Z,2024-07-30T00:00:00Z,199.3,MXN,ad,instagram,email,instagram,referral,new_year_promo,62.15,10871,986,9.07,123.87,36,9556.85,77.1523,2026-07-04T05:01:03.099173
mkt_000007,2024-07-05T00:00:00Z,2024-07-10T00:00:00Z,2024-07-26T00:00:00Z,448.64,USD,organic,bing,sms,bing,social,brand_awareness,56.75,13929,179,1.2851,254.61,3,212.82,0.8359,2026-07-04T05:01:03.099173
mkt_000008,2024-07-05T00:00:00Z,2024-07-18T00:00:00Z,2024-07-22T00:00:00Z,82.98,MXN,influencer,facebook,referral,facebook,referral,brand_awareness,47.83,5372,79,1.4706,39.69,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000009,2024-07-05T00:00:00Z,2024-07-07T00:00:00Z,2024-08-04T00:00:00Z,151.05,USD,influencer,bing,display,bing,cpc,new_year_promo,54.7,11707,511,4.3649,82.62,1,210.27,2.545,2026-07-04T05:01:03.099173
mkt_000010,2024-07-06T00:00:00Z,2024-07-16T00:00:00Z,2024-07-18T00:00:00Z,331.22,EUR,retargeting,tiktok,email,tiktok,display,summer_sale,92.01,621,67,10.789,304.77,3,789.82,2.5915,2026-07-04T05:01:03.099173
mkt_000011,2024-07-06T00:00:00Z,2024-07-10T00:00:00Z,2024-07-17T00:00:00Z,126.38,USD,influencer,bing,search,bing,cpc,brand_awareness,96.42,14100,796,5.6454,121.86,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000012,2024-07-07T00:00:00Z,2024-07-12T00:00:00Z,2024-07-15T00:00:00Z,60.13,MXN,influencer,google,display,google,email,black_friday,76.43,3776,267,7.071,45.96,8,1812.85,39.4441,2026-07-04T05:01:03.099173
mkt_000013,2024-07-07T00:00:00Z,2024-07-18T00:00:00Z,2024-07-19T00:00:00Z,152.13,USD,retargeting,google,direct,google,referral,q4_retarget,50.15,7476,323,4.3205,76.3,7,2063.3,27.0419,2026-07-04T05:01:03.099173
